ProdutoID;Nome;Descrição;Preço;Estoque;CategoriaID;FornecedorID
1;Produto 1;capa para celular 01;549.42;339;8;1
2;Produto 2;capa para celular 02;983.48;45;9;5
3;Produto 3;capa para celular 03;65.61;219;9;3
4;Produto 4;capa para celular 04;747.28;451;3;4
5;Produto 5;capa para celular 05;408.61;477;7;2
6;Produto 6;capa para celular 06;47.38;232;7;3
7;Produto 7;capa para celular 07;995.9;105;9;1
8;Produto 8;capa para celular 08;545.03;110;6;1
9;Produto 9;capa para celular 09;556.66;99;3;2
10;Produto 10;capa para celular 10;904.35;338;10;4
11;Produto 11;capa para celular 11;848.61;141;2;2
12;Produto 12;capa para celular 12;72.84;394;4;2
13;Produto 13;capa para celular 13;789.1;299;9;5
14;Produto 14;capa para celular 14;431.0;49;2;2
15;Produto 15;capa para celular 15;990.7;158;9;1
16;Produto 16;capa para celular 16;890.56;111;4;3
17;Produto 17;capa para celular 17;873.14;426;10;1
18;Produto 18;capa para celular 18;736.89;478;6;5
19;Produto 19;capa para celular 19;332.18;232;10;4
20;Produto 20;capa para celular 20;969.38;322;8;1
21;Produto 21;capa para celular 21;431.42;225;7;1
22;Produto 22;capa para celular 22;159.69;225;8;4
23;Produto 23;capa para celular 23;421.99;159;4;4
24;Produto 24;capa para celular 24;845.28;260;8;1
25;Produto 25;capa para celular 25;921.05;415;2;1
26;Produto 26;capa para celular 26;30.28;227;1;1
27;Produto 27;capa para celular 27;607.56;443;5;3
28;Produto 28;capa para celular 28;184.09;353;6;4
29;Produto 29;capa para celular 29;847.01;131;5;1
30;Produto 30;capa para celular 30;867.1;491;8;3
31;Produto 31;capa para celular 31;352.78;332;3;1
32;Produto 32;capa para celular 32;796.28;69;6;4
33;Produto 33;capa para celular 33;716.0;442;9;4
34;Produto 34;capa para celular 34;920.27;483;5;3
35;Produto 35;capa para celular 35;182.28;207;7;1
36;Produto 36;capa para celular 36;331.46;260;4;4
37;Produto 37;capa para celular 37;285.25;434;6;2
38;Produto 38;capa para celular 38;788.57;276;10;5
39;Produto 39;capa para celular 39;490.56;356;7;2
40;Produto 40;capa para celular 40;587.47;344;4;4
41;Produto 41;capa para celular 41;700.83;184;8;2
42;Produto 42;capa para celular 42;216.73;453;3;4
43;Produto 43;capa para celular 43;679.64;167;2;5
44;Produto 44;capa para celular 44;186.52;314;6;1
45;Produto 45;capa para celular 45;354.75;137;8;2
46;Produto 46;capa para celular 46;639.68;364;9;2
47;Produto 47;capa para celular 47;482.49;243;8;3
48;Produto 48;capa para celular 48;664.81;3;2;2
49;Produto 49;capa para celular 49;419.69;246;2;4
50;Produto 50;capa para celular 50;77.51;50;1;2
51;Produto 51;capa para celular 51;742.01;409;7;4
52;Produto 52;capa para celular 52;698.82;58;10;4
53;Produto 53;capa para celular 53;835.94;366;7;1
54;Produto 54;capa para celular 54;591.04;126;9;5
55;Produto 55;capa para celular 55;567.93;329;10;3
56;Produto 56;capa para celular 56;551.85;264;3;1
57;Produto 57;capa para celular 57;704.38;9;10;4
58;Produto 58;capa para celular 58;902.11;139;10;3
59;Produto 59;capa para celular 59;289.64;212;3;1
60;Produto 60;capa para celular 60;103.36;54;5;5
61;Produto 61;capa para celular 61;785.81;371;7;2
62;Produto 62;capa para celular 62;481.64;400;2;5
63;Produto 63;capa para celular 63;969.22;100;2;1
64;Produto 64;capa para celular 64;287.29;324;7;3
65;Produto 65;capa para celular 65;813.87;192;9;3
66;Produto 66;capa para celular 66;772.28;334;7;1
67;Produto 67;capa para celular 67;35.86;132;7;4
68;Produto 68;capa para celular 68;399.46;303;3;1
69;Produto 69;capa para celular 69;759.92;12;5;4
70;Produto 70;capa para celular 70;657.83;63;3;1
71;Produto 71;capa para celular 71;957.79;414;6;1
72;Produto 72;capa para celular 72;550.94;470;9;2
73;Produto 73;capa para celular 73;689.59;405;10;1
74;Produto 74;capa para celular 74;33.54;359;3;3
75;Produto 75;capa para celular 75;364.66;386;7;1
76;Produto 76;capa para celular 76;252.3;349;4;2
77;Produto 77;capa para celular 77;138.06;113;8;4
78;Produto 78;capa para celular 78;611.08;17;3;1
79;Produto 79;capa para celular 79;282.76;460;5;5
80;Produto 80;capa para celular 80;772.42;60;7;5
81;Produto 81;capa para celular 81;663.28;246;6;2
82;Produto 82;capa para celular 82;957.97;475;10;2
83;Produto 83;capa para celular 83;894.98;264;10;4
84;Produto 84;capa para celular 84;153.11;174;6;3
85;Produto 85;capa para celular 85;868.04;297;1;4
86;Produto 86;capa para celular 86;118.48;427;4;5
87;Produto 87;capa para celular 87;668.4;219;5;4
88;Produto 88;capa para celular 88;327.32;63;9;3
89;Produto 89;capa para celular 89;259.73;252;1;4
90;Produto 90;capa para celular 90;210.94;291;4;4
91;Produto 91;capa para celular 91;415.89;52;1;4
92;Produto 92;capa para celular 92;546.04;492;4;4
93;Produto 93;capa para celular 93;585.31;364;8;4
94;Produto 94;capa para celular 94;779.33;358;5;5
95;Produto 95;capa para celular 95;192.9;293;7;5
96;Produto 96;capa para celular 96;61.35;128;1;5
97;Produto 97;capa para celular 97;137.26;419;6;2
98;Produto 98;capa para celular 98;745.45;70;4;1
99;Produto 99;capa para celular 99;635.43;366;1;3
100;Produto 100;capa para celular 100;128.92;199;6;5
101;Produto 101;capa para celular 101;351.64;225;9;5
102;Produto 102;capa para celular 102;277.04;167;3;2
103;Produto 103;capa para celular 103;528.42;149;6;5
104;Produto 104;capa para celular 104;332.75;325;4;1
105;Produto 105;capa para celular 105;180.23;47;6;2
106;Produto 106;capa para celular 106;875.25;206;10;3
107;Produto 107;capa para celular 107;313.96;162;5;5
108;Produto 108;capa para celular 108;434.64;266;10;3
109;Produto 109;capa para celular 109;683.28;296;7;1
110;Produto 110;capa para celular 110;293.58;462;10;2
